Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Tensor0                                   (1, 3, 1024, 2048)    24.00M
Tensor1                                                 (1,)   512.00B
module.conv1.weight                            (64, 3, 7, 7)    37.00K
module.bn1.weight                                      (64,)   512.00B
module.bn1.bias                                        (64,)   512.00B
Tensor2                                                (64,)   512.00B
Tensor3                                                (64,)   512.00B
Tensor4                                                 (1,)   512.00B
module.fc.weight                                 (1000, 512)     1.95M
module.fc.bias                                       (1000,)     4.00K
module.layer1.0.conv1.weight                  (64, 64, 3, 3)   144.00K
module.layer1.0.bn1.weight                             (64,)   512.00B
module.layer1.0.bn1.bias                               (64,)   512.00B
Tensor5                                                (64,)   512.00B
Tensor6                                                (64,)   512.00B
Tensor7                                                 (1,)   512.00B
module.layer1.0.conv2.weight                  (64, 64, 3, 3)   144.00K
module.layer1.0.bn2.weight                             (64,)   512.00B
module.layer1.0.bn2.bias                               (64,)   512.00B
Tensor8                                                (64,)   512.00B
Tensor9                                                (64,)   512.00B
Tensor10                                                (1,)   512.00B
module.layer1.1.conv1.weight                  (64, 64, 3, 3)   144.00K
module.layer1.1.bn1.weight                             (64,)   512.00B
module.layer1.1.bn1.bias                               (64,)   512.00B
Tensor11                                               (64,)   512.00B
Tensor12                                               (64,)   512.00B
Tensor13                                                (1,)   512.00B
module.layer1.1.conv2.weight                  (64, 64, 3, 3)   144.00K
module.layer1.1.bn2.weight                             (64,)   512.00B
module.layer1.1.bn2.bias                               (64,)   512.00B
Tensor14                                               (64,)   512.00B
Tensor15                                               (64,)   512.00B
Tensor16                                                (1,)   512.00B
module.layer2.0.conv1.weight                 (128, 64, 3, 3)   288.00K
module.layer2.0.bn1.weight                            (128,)   512.00B
module.layer2.0.bn1.bias                              (128,)   512.00B
Tensor17                                              (128,)   512.00B
Tensor18                                              (128,)   512.00B
Tensor19                                                (1,)   512.00B
module.layer2.0.conv2.weight                (128, 128, 3, 3)   576.00K
module.layer2.0.bn2.weight                            (128,)   512.00B
module.layer2.0.bn2.bias                              (128,)   512.00B
Tensor20                                              (128,)   512.00B
Tensor21                                              (128,)   512.00B
Tensor22                                                (1,)   512.00B
module.layer2.1.conv1.weight                (128, 128, 3, 3)   576.00K
module.layer2.1.bn1.weight                            (128,)   512.00B
module.layer2.1.bn1.bias                              (128,)   512.00B
Tensor23                                              (128,)   512.00B
Tensor24                                              (128,)   512.00B
Tensor25                                                (1,)   512.00B
