Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
module.layer4.2.conv1.weight                (512, 512, 3, 3)     9.00M
Tensor0                                                (64,)   512.00B
Tensor1                                                (64,)   512.00B
Tensor2                                                 (1,)   512.00B
Tensor3                                                (64,)   512.00B
Tensor4                                                (64,)   512.00B
Tensor5                                                 (1,)   512.00B
Tensor6                                                (64,)   512.00B
Tensor7                                                (64,)   512.00B
Tensor8                                                 (1,)   512.00B
Tensor9                                                (64,)   512.00B
Tensor10                                               (64,)   512.00B
Tensor11                                                (1,)   512.00B
Tensor12                                               (64,)   512.00B
Tensor13                                               (64,)   512.00B
Tensor14                                                (1,)   512.00B
Tensor15                                               (64,)   512.00B
Tensor16                                               (64,)   512.00B
Tensor17                                                (1,)   512.00B
Tensor18                                               (64,)   512.00B
Tensor19                                               (64,)   512.00B
Tensor20                                                (1,)   512.00B
Tensor21                                              (128,)   512.00B
Tensor22                                              (128,)   512.00B
Tensor23                                                (1,)   512.00B
Tensor24                                              (128,)   512.00B
Tensor25                                              (128,)   512.00B
Tensor26                                                (1,)   512.00B
Tensor27                                              (128,)   512.00B
Tensor28                                              (128,)   512.00B
Tensor29                                                (1,)   512.00B
Tensor30                                              (128,)   512.00B
Tensor31                                              (128,)   512.00B
Tensor32                                                (1,)   512.00B
Tensor33                                              (128,)   512.00B
Tensor34                                              (128,)   512.00B
Tensor35                                                (1,)   512.00B
Tensor36                                              (128,)   512.00B
Tensor37                                              (128,)   512.00B
Tensor38                                                (1,)   512.00B
Tensor39                                              (128,)   512.00B
Tensor40                                              (128,)   512.00B
Tensor41                                                (1,)   512.00B
Tensor42                                              (128,)   512.00B
Tensor43                                              (128,)   512.00B
Tensor44                                                (1,)   512.00B
Tensor45                                              (128,)   512.00B
Tensor46                                              (128,)   512.00B
Tensor47                                                (1,)   512.00B
Tensor48                                              (256,)     1.00K
Tensor49                                              (256,)     1.00K
Tensor50                                                (1,)   512.00B
Tensor51                                              (256,)     1.00K
Tensor52                                              (256,)     1.00K
Tensor53                                                (1,)   512.00B
Tensor54                                              (256,)     1.00K
Tensor55                                              (256,)     1.00K
Tensor56                                                (1,)   512.00B
Tensor57                                              (256,)     1.00K
Tensor58                                              (256,)     1.00K
Tensor59                                                (1,)   512.00B
Tensor60                                              (256,)     1.00K
Tensor61                                              (256,)     1.00K
Tensor62                                                (1,)   512.00B
Tensor63                                              (256,)     1.00K
Tensor64                                              (256,)     1.00K
